query_id,question,category,cause_code,description
Q-024,How does adversarial perturbations in vision models function in research (Detection)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-025,How does deep reinforcement learning function in research (Definition)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-026,How does policy gradient actor-critic update function in research (Mechanism)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-027,How does sparse data in recommendation systems function in research (Cause)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-028,How does catastrophic forgetting in continual learning function in research (Effect)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-029,How does mixture of experts parameter efficiency function in research (Advantage)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-030,How does reward hacking in AI alignment function in research (Limitation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-031,How does safety constraints in autonomous agents function in research (Challenge)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-032,How does NLP for code synthesis function in research (Application)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-033,How does dense retrieval vs BM25 lexical search function in research (Comparison)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-034,How does RAGAS benchmark scores function in research (Evaluation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-035,How does hyperparameter optimization performance function in research (Prediction)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-036,How does data poisoning in training sets function in research (Detection)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-037,How does representation learning function in research (Definition)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-038,How does masked language modeling BERT function in research (Mechanism)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-039,How does high dimensionality in feature spaces function in research (Cause)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-040,How does batch normalization on training speed function in research (Effect)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-041,How does pruning redundant network weights function in research (Advantage)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-042,How does quadratic complexity of self-attention function in research (Limitation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-043,How does latency in real-time LLM inference function in research (Challenge)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-044,How does reinforcement learning robotic control function in research (Application)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-045,How does autoregressive vs non-autoregressive decoding function in research (Comparison)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-046,How does SHAP and LIME interpretability accuracy function in research (Evaluation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-047,How does model degradation over time function in research (Prediction)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-048,How does bias detection in word embeddings function in research (Detection)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-049,How does foundation models function in research (Definition)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-050,How does contrastive learning SimCLR function in research (Mechanism)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-066,What is the role of credential stuffing account takeover in cybersecurity (Effect)?,single_domain_cy,B. Information chunking density,Abstract Text Chunking Density Constraint
Q-079,What is the role of hardware enclave isolation SGX in cybersecurity (Advantage)?,single_domain_cy,B. Information chunking density,Abstract Text Chunking Density Constraint
Q-081,What is the role of serverless permission privilege drift in cybersecurity (Challenge)?,single_domain_cy,B. Information chunking density,Abstract Text Chunking Density Constraint
Q-090,What is the role of identity theft data breach impact in cybersecurity (Effect)?,single_domain_cy,B. Information chunking density,Abstract Text Chunking Density Constraint
Q-101,How is precision agriculture site-specific management addressed in agriculture research (Definition)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-103,How is soil nutrient depletion NPK addressed in agriculture research (Cause)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-104,How is crop yield reduction from drought addressed in agriculture research (Effect)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-105,How is drone remote sensing canopy monitoring addressed in agriculture research (Advantage)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-106,How is computer vision weed detection occlusion addressed in agriculture research (Limitation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-107,How is high initial hardware cost smallholders addressed in agriculture research (Challenge)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-108,How is satellite NDVI crop biomass tracking addressed in agriculture research (Application)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-109,How is satellite vs drone imagery spatial resolution addressed in agriculture research (Comparison)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-110,How is biological pest control efficiency addressed in agriculture research (Evaluation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-111,How is regional crop harvest yield addressed in agriculture research (Prediction)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-112,How is plant water stress thermal canopy addressed in agriculture research (Detection)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-113,How is climate-smart agriculture addressed in agriculture research (Definition)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-115,How is salinization of agricultural soil addressed in agriculture research (Cause)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-116,How is frost damage on orchard fruit production addressed in agriculture research (Effect)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-117,How is conservation tillage moisture retention addressed in agriculture research (Advantage)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-118,How is NDVI saturation in dense canopies addressed in agriculture research (Limitation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-119,How is predicting crop yield during extreme heatwaves addressed in agriculture research (Challenge)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-120,How is soft robotic fruit harvesting addressed in agriculture research (Application)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-122,How is soil organic carbon accumulation addressed in agriculture research (Evaluation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-123,How is nocturnal orchard frost risk addressed in agriculture research (Prediction)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-124,How is leaf spot fungal lesions addressed in agriculture research (Detection)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-125,How is smart farming digital agriculture addressed in agriculture research (Definition)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-126,How is NIR spectroscopy soil nitrogen measurement addressed in agriculture research (Mechanism)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-127,How is excessive chemical pesticide runoff addressed in agriculture research (Cause)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-128,How is soil erosion on arable land addressed in agriculture research (Effect)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-130,How is GPS signal loss under dense crop canopy addressed in agriculture research (Limitation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-131,How is autonomous tractor navigation in mud addressed in agriculture research (Challenge)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-132,How is machine learning soil nutrient mapping addressed in agriculture research (Application)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-133,How is organic vs precision agriculture footprint addressed in agriculture research (Comparison)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-134,How is cover crop weed suppression rate addressed in agriculture research (Evaluation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-135,How is pest infestation population dynamics addressed in agriculture research (Prediction)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-136,How is pest insects using computer vision addressed in agriculture research (Detection)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-137,How is soil organic matter addressed in agriculture research (Definition)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-138,How is crop recommendation model selection addressed in agriculture research (Mechanism)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-140,How is crop stunt from heavy metal toxicity addressed in agriculture research (Effect)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-141,How is variable rate fertilizer application addressed in agriculture research (Advantage)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-142,How is spectral resolution limits of RGB cameras addressed in agriculture research (Limitation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-143,How is wireless agricultural sensor battery life addressed in agriculture research (Challenge)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-144,How is livestock behavioral monitoring addressed in agriculture research (Application)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-145,How is hydroponics vs aeroponics water consumption addressed in agriculture research (Comparison)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-146,How is yield prediction model MAE metrics addressed in agriculture research (Evaluation)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-147,How is drought stress index in corn addressed in agriculture research (Prediction)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-148,How is foliar rust disease in wheat addressed in agriculture research (Detection)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-149,How is vertical farming hydroponics addressed in agriculture research (Definition)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-150,How is greenhouse temperature feedback loop addressed in agriculture research (Mechanism)?,single_domain_ag,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-151,What is the significance of clinical decision support system in healthcare (Definition)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-153,What is the significance of hospital scanner model domain shift in healthcare (Cause)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-154,What is the significance of diagnostic delay in rare diseases in healthcare (Effect)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-155,What is the significance of AI radiology early cancer sensitivity in healthcare (Advantage)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-156,What is the significance of single-site dataset generalization limits in healthcare (Limitation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-157,What is the significance of FDA regulatory software certification in healthcare (Challenge)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-158,What is the significance of early sepsis prediction ICU vital streams in healthcare (Application)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-159,What is the significance of 2D vs 3D vision transformers tumor segmentation in healthcare (Comparison)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-160,What is the significance of automated mammography screening accuracy in healthcare (Evaluation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-161,What is the significance of 30-day hospital readmission risk in healthcare (Prediction)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-162,What is the significance of cardiac arrhythmia wearable ECG in healthcare (Detection)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-163,What is the significance of federated learning in health research in healthcare (Definition)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-164,What is the significance of clinical NLP bio-NER entity extraction in healthcare (Mechanism)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-165,What is the significance of unstructured EHR missing data notes in healthcare (Cause)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-166,What is the significance of medication error risk in prescriptions in healthcare (Effect)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-167,What is the significance of HIPAA compliant multi-hospital research in healthcare (Advantage)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-168,What is the significance of pulse oximetry calibration bias in dark skin in healthcare (Limitation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-169,What is the significance of EHR FHIR system interoperability friction in healthcare (Challenge)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-170,What is the significance of diabetic retinopathy fundus screening in healthcare (Application)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-171,What is the significance of rule-based vs deep learning decision support in healthcare (Comparison)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-172,What is the significance of AI triage chatbot diagnostic safety in healthcare (Evaluation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-173,What is the significance of acute kidney injury 48h onset in healthcare (Prediction)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-174,What is the significance of ischemic stroke non-contrast CT in healthcare (Detection)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-176,What is the significance of Grad-CAM saliency map visualization in healthcare (Mechanism)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-177,What is the significance of algorithmic bias in clinical risk scores in healthcare (Cause)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-178,What is the significance of patient burnout from frequent clinic visits in healthcare (Effect)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-179,What is the significance of generative AI de-novo drug design speed in healthcare (Advantage)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-180,What is the significance of black-box neural network interpretability in healthcare (Limitation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-182,What is the significance of clinical trial matching oncology NLP in healthcare (Application)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-183,What is the significance of CT scan vs MRI soft tissue resolution in healthcare (Comparison)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-184,What is the significance of AlphaFold 3D protein structure prediction in healthcare (Evaluation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-185,What is the significance of disease onset timeline in chronic illness in healthcare (Prediction)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-186,What is the significance of microaneurysms in retinal imaging in healthcare (Detection)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-187,What is the significance of BioBERT pre-training in healthcare (Definition)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-188,What is the significance of surgical phase video frame extraction in healthcare (Mechanism)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-189,What is the significance of patient non-compliance with drug therapy in healthcare (Cause)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-190,What is the significance of adverse drug event risk in healthcare (Effect)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-191,What is the significance of automated patient risk stratification in healthcare (Advantage)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-192,What is the significance of scanned clinical note OCR degradation in healthcare (Limitation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-193,What is the significance of real-time inference latency in surgical AI in healthcare (Challenge)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-194,What is the significance of molecular ligand binding screening in healthcare (Application)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-195,What is the significance of centralized data warehouse vs federated learning in healthcare (Comparison)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-196,What is the significance of clinical NLP assertion status metrics in healthcare (Evaluation)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-197,What is the significance of post-operative complication risk in healthcare (Prediction)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-198,What is the significance of brain tumor glioma boundaries in healthcare (Detection)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-200,What is the significance of radiology feature heatmaps in healthcare (Mechanism)?,single_domain_hc,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-201,How is Earth System Models climate modeling evaluated in climate science (Definition)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-202,How is deep neural weather forecasting emulators evaluated in climate science (Mechanism)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-203,How is greenhouse gas anthropogenic emissions evaluated in climate science (Cause)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-204,How is sea level rise coastal flooding evaluated in climate science (Effect)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-205,How is AI surrogate model speed over numerical NWP evaluated in climate science (Advantage)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-206,How is out-of-distribution extremes blurring evaluated in climate science (Limitation)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-207,How is sub-grid convection scale parameterization evaluated in climate science (Challenge)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-208,How is tropical cyclone track and intensity evaluated in climate science (Application)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-209,How is GCM global resolution vs RCM regional downscaling evaluated in climate science (Comparison)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-210,How is heatwave duration and peak temperature accuracy evaluated in climate science (Evaluation)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-212,How is methane super-emitter plumes satellite evaluated in climate science (Detection)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-213,How is equilibrium climate sensitivity evaluated in climate science (Definition)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-214,How is satellite infrared methane spectroscopy evaluated in climate science (Mechanism)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-215,How is deforestation impact on carbon sinks evaluated in climate science (Cause)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-216,How is ocean acidification on marine ecosystems evaluated in climate science (Effect)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-217,How is wall-to-wall satellite forest carbon stock evaluated in climate science (Advantage)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-218,How is coastal radar altimetry footprint contamination evaluated in climate science (Limitation)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-219,How is quantifying urban greenhouse gas inventories evaluated in climate science (Challenge)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-220,How is SAR flood risk inundation mapping evaluated in climate science (Application)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-221,How is FourCastNet vs traditional numerical NWP evaluated in climate science (Comparison)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-222,How is physics-informed neural network conservation loss evaluated in climate science (Evaluation)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-224,How is wildfire ignition thermal hotspots evaluated in climate science (Detection)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-225,How is greenhouse gas flux evaluated in climate science (Definition)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-226,How is cloud feedback optical depth parameterization evaluated in climate science (Mechanism)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-227,How is volcanic eruption radiative forcing evaluated in climate science (Cause)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-228,How is polar ice sheet mass loss evaluated in climate science (Effect)?,single_domain_cl,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
